"1JTREC";"1ª TURMA RECURSAL"
"TOTAGSECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - TAGUATINGA"
"TOTOC1ECIV";"1ª Escrivania Cível de Tocantínia"
"TOTOC1ECIVJ";"Juízo da 1ª Escrivania Cível de Tocantínia"
"TOTOC1ECRI";"1ª Escrivania Criminal de Tocantínia"
"TOTOC1ECRIJ";"Juízo da 1ª Escrivania Criminal de Tocantínia"
"TOTOCCEMAN";"CENTRAL DE MANDADOS - TOCANTÍNIA"
"TOTOCCONT";"CONTADORIA - TOCANTÍNIA"
"TOTOCDIFO";"DIRETORIA FORO - TOCANTÍNIA"
"TOTOCPLAN";"PLANTÃO DE 1ª INSTÂNCIA - TOCANTÍNIA"
"TOTOCPROT";"PROTOCOLO/DISTRIBUIÇÃO - TOCANTÍNIA"
"TOTOP1ECIV";"1ª Vara Cível de Tocantinópolis"
"TOTOP1ECIVJ";"Juízo da 1ª Vara Cível de Tocantinópolis"
"TOTOP1ECRI";"1ª Vara Criminal de Tocantinópolis"
"TOTOP1ECRIJ";"Juízo da 1ª Vara Criminal de Tocantinópolis"
"TOTOPCEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - TOCANTINÓPOLIS"
"TOTOPCEMAN";"CENTRAL DE MANDADOS - TOCANTINÓPOLIS"
"TOTOPCONT";"CONTADORIA - TOCANTINÓPOLIS"
"TOTOPDIFO";"DIRETORIA FORO - TOCANTINÓPOLIS"
"TOTOPGG";"GGEM - NÚCLEO TOCANTINÓPOLIS"
"TOTOPJECCR";"Juizado Especial Cível de Tocantinópolis"
"TOTOPJECCRJ";"Juízo do Juizado Especial Cível de Tocantinópolis"
"TOTOPJECRC";"Juizado Especial Criminal de Tocantinópolis"
"TOTOPJECRCJ";"Juízo do Juizado Especial Criminal de Tocantinópolis"
"TOTOPJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA(CEJUSC)- TOCANTINÓPOLIS"
"TOTOPPLAN";"PLANTÃO DE 1ª INSTÂNCIA - TOCANTINÓPOLIS"
"TOTOPPROT";"PROTOCOLO/DISTRIBUIÇÃO - TOCANTINÓPOLIS"
"TOTOPSECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - TOCANTINÓPOLIS"
"TOWAN1ECIV";"1ª Escrivania Cível de Wanderlândia"
"TOWAN1ECIVJ";"Juízo da 1ª Escrivania Cível de Wanderlândia"
"TOWAN1ECRI";"1ª Escrivania Criminal de Wanderlândia"
"TOWAN1ECRIJ";"Juízo da 1ª Escrivania Criminal de Wanderlândia"
"TOWANCEMAN";"CENTRAL DE MANDADOS - WANDERLÂNDIA"
"TOWANCONT";"CONTADORIA - WANDERLÂNDIA"
"TOWANDIFO";"DIRETORIA FORO - WANDERLÂNDIA"
"TOWANPLAN";"PLANTÃO DE 1ª INSTÂNCIA - WANDERLÂNDIA"
"TOWANPROT";"PROTOCOLO/DISTRIBUIÇÃO - WANDERLÂNDIA"
"TOXAM1ECIV";"1ª Escrivania Cível de Xambioá"
"TOXAM1ECIVJ";"Juízo da 1ª Escrivania Cível de Xambioá"
"TOXAM1ECRI";"1ª Escrivania Criminal de Xambioá"
"TOXAM1ECRIJ";"Juízo da 1ª Escrivania Criminal de Xambioá"
"TOXAMCEMAN";"CENTRAL DE MANDADOS - XAMBIOÁ"
"TOXAMCONT";"CONTADORIA - XAMBIOÁ"
"TOXAMDIFO";"DIRETORIA FORO - XAMBIOÁ"
"TOXAMPLAN";"PLANTÃO DE 1ª INSTÂNCIA - XAMBIOÁ"
"TOXAMPROT";"PROTOCOLO/DISTRIBUIÇÃO - XAMBIOÁ"
"TUR01";"1ª TURMA DA 1ª CÂMARA CÍVEL"
"TUR02";"2ª TURMA DA 1ª CÂMARA CÍVEL"
"TUR03";"3ª TURMA DA 1ª CÂMARA CÍVEL"
"TUR04";"4ª TURMA DA 1ª CÂMARA CÍVEL"
"TUR05";"5ª TURMA DA 1ª CÂMARA CÍVEL"
"TUR06";"1ª TURMA DA 2ª CÂMARA CÍVEL"
"TUR07";"2ª TURMA DA 2ª CÂMARA CÍVEL"
"TUR08";"3ª TURMA DA 2ª CÂMARA CÍVEL"
"TUR09";"4ª TURMA DA 2ª CÂMARA CÍVEL"
"TUR10";"5ª TURMA DA 2ª CÂMARA CÍVEL"
"VICEP";"VICE PRESIDÊNCIA"
