"1JTREC";"1ª TURMA RECURSAL"
"TOARUPLAN";"PLANTÃO DE 1ª INSTÂNCIA - ARAGUAÇU"
"TOARUPROT";"PROTOCOLO/DISTRIBUIÇÃO - ARAGUAÇU"
"TOATODIFO";"DIRETORIA FORO - AURORA DO TOCANTINS"
"TOAUG1ECIV";"1ª Escrivania Cível de Augustinopolis"
"TOAUG1ECIVJ";"Juízo da 1ª Escrivania Cível de Augustinopolis"
"TOAUG1ECRI";"1ª Escrivania Criminal de Augustinopolis"
"TOAUG1ECRIJ";"Juízo da 1ª Escrivania Criminal de Augustinopolis"
"TOAUG2ECIV";"2ª Escrivania Cível de Augustinopolis"
"TOAUG2ECIVJ";"Juízo da 2ª Escrivania Cível de Augustinopolis"
"TOAUGCEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - AUGUSTINÓPOLIS"
"TOAUGCEMAN";"CENTRAL DE MANDADOS - AUGUSTINOPOLIS"
"TOAUGCONT";"CONTADORIA - AUGUSTINOPOLIS"
"TOAUGDIFO";"DIRETORIA FORO - AUGUSTINOPOLIS"
"TOAUGJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA(CEJUSC)- AUGUSTINÓPOLIS"
"TOAUGPLAN";"PLANTÃO DE 1ª INSTÂNCIA - AUGUSTINOPOLIS"
"TOAUGPROT";"PROTOCOLO/DISTRIBUIÇÃO - AUGUSTINOPOLIS"
"TOAUGREDE";"ESCRIVANIA EM REDE - AUGUSTINOPOLIS"
"TOAUGSECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - AUGUSTINÓPOLIS"
"TOAUR1ECIV";"1ª Escrivania Cível de Aurora"
"TOAUR1ECIVJ";"Juízo da 1ª Escrivania Cível de Aurora"
"TOAUR1ECRI";"1ª Escrivania Criminal de Aurora"
"TOAUR1ECRIJ";"Juízo da 1ª Escrivania Criminal de Aurora"
"TOAURCEMAN";"CENTRAL DE MANDADOS - AURORA DO TOCANTINS"
"TOAURCONT";"CONTADORIA - AURORA DO TOCANTINS"
"TOAURPLANT";"PLANTÃO DE 1ª INSTÂNCIA - AURORA"
"TOAURPROT";"PROTOCOLO/DISTRIBUIÇÃO - AURORA DO TOCANTINS"
"TOAXI1ECIV";"1ª Escrivania Cível de Axixa"
"TOAXI1ECIVJ";"Juízo da 1ª Escrivania Cível de Axixa"
"TOAXI1ECRI";"1ª Escrivania Criminal de Axixa"
"TOAXI1ECRIJ";"Juízo da 1ª Escrivania Criminal de Axixa"
"TOAXICEMAN";"CENTRAL DE MANDADOS - AXIXA"
"TOAXICONT";"CONTADORIA - AXIXA"
"TOAXIDIFO";"DIRETORIA FORO - AXIXA"
